top percent,count
0.1,18148
0.2,13219
0.2,12515
0.3,11396
0.4,10704
0.5,10231
0.5,10022
0.6,9951
0.7,9894
0.8,9616
0.8,9075
0.9,8798
1.0,8646
1.1,8366
1.1,8203
1.2,8067
1.3,7868
1.4,7823
1.4,7625
1.5,7608
1.6,7452
1.7,7395
1.7,7387
1.8,7372
1.9,7368
2.0,6949
2.0,6865
2.1,6754
2.2,6484
2.3,6409
2.3,6331
2.4,6314
2.5,6210
2.6,6028
2.6,5993
2.7,5612
2.8,5507
2.9,5448
2.9,5371
3.0,5311
3.1,5292
3.2,5181
3.2,5056
3.3,5051
3.4,5020
3.5,4974
3.5,4974
3.6,4873
3.7,4830
3.8,4805
3.8,4791
3.9,4768
4.0,4759
4.1,4534
4.1,4528
4.2,4492
4.3,4399
4.4,4377
4.4,4364
4.5,4355
4.6,4249
4.7,4235
4.7,4221
4.8,4152
4.9,4136
5.0,4136
5.0,4103
5.1,4073
5.2,4049
5.3,4028
5.4,3978
5.4,3943
5.5,3923
5.6,3912
5.7,3899
5.7,3854
5.8,3853
5.9,3749
6.0,3722
6.0,3714
6.1,3659
6.2,3590
6.3,3576
6.3,3570
6.4,3570
6.5,3477
6.6,3464
6.6,3450
6.7,3349
6.8,3342
6.9,3329
6.9,3296
7.0,3285
7.1,3282
7.2,3281
7.2,3277
7.3,3271
7.4,3252
7.5,3243
7.5,3240
7.6,3218
7.7,3207
7.8,3170
7.8,3147
7.9,3144
8.0,3137
8.1,3132
8.1,3110
8.2,3104
8.3,3088
8.4,3068
8.4,2978
8.5,2949
8.6,2941
8.7,2935
8.7,2922
8.8,2899
8.9,2897
9.0,2888
9.0,2886
9.1,2855
9.2,2855
9.3,2826
9.3,2826
9.4,2801
9.5,2793
9.6,2776
9.6,2776
9.7,2771
9.8,2762
9.9,2760
9.9,2750
10.0,2708
10.1,2706
10.2,2704
10.2,2699
10.3,2699
10.4,2659
10.5,2657
10.6,2652
10.6,2633
10.7,2622
10.8,2609
10.9,2601
10.9,2583
11.0,2578
11.1,2574
11.2,2548
11.2,2530
11.3,2521
11.4,2520
11.5,2517
11.5,2515
11.6,2514
11.7,2496
11.8,2485
11.8,2470
11.9,2466
12.0,2463
12.1,2439
12.1,2424
12.2,2418
12.3,2356
12.4,2350
12.4,2342
12.5,2341
12.6,2309
12.7,2301
12.7,2301
12.8,2299
12.9,2298
13.0,2287
13.0,2283
13.1,2270
13.2,2258
13.3,2255
13.3,2255
13.4,2252
13.5,2231
13.6,2226
13.6,2226
13.7,2221
13.8,2198
13.9,2189
13.9,2179
14.0,2178
14.1,2176
14.2,2174
14.2,2163
14.3,2162
14.4,2156
14.5,2147
14.5,2139
14.6,2136
14.7,2130
14.8,2124
14.8,2123
14.9,2117
15.0,2112
15.1,2107
15.1,2105
15.2,2104
15.3,2102
15.4,2099
15.4,2085
15.5,2084
15.6,2080
15.7,2075
15.7,2073
15.8,2052
15.9,2049
16.0,2043
16.1,2034
16.1,2030
16.2,2020
16.3,2005
16.4,1994
16.4,1992
16.5,1991
16.6,1985
16.7,1982
16.7,1979
16.8,1975
16.9,1969
17.0,1962
17.0,1960
17.1,1957
17.2,1953
17.3,1934
17.3,1929
17.4,1923
17.5,1921
17.6,1910
17.6,1898
17.7,1897
17.8,1877
17.9,1871
17.9,1870
18.0,1870
18.1,1867
18.2,1863
18.2,1856
18.3,1810
18.4,1808
18.5,1790
18.5,1788
18.6,1786
18.7,1785
18.8,1774
18.8,1770
18.9,1756
19.0,1750
19.1,1748
19.1,1734
19.2,1733
19.3,1726
19.4,1719
19.4,1707
19.5,1700
19.6,1690
19.7,1682
19.7,1680
19.8,1674
19.9,1673
20.0,1670
20.0,1669
20.1,1655
20.2,1654
20.3,1653
20.3,1652
20.4,1646
20.5,1642
20.6,1637
20.6,1635
20.7,1633
20.8,1633
20.9,1622
20.9,1619
21.0,1618
21.1,1617
21.2,1614
21.3,1612
21.3,1605
21.4,1604
21.5,1597
21.6,1589
21.6,1586
21.7,1581
21.8,1571
21.9,1571
21.9,1570
22.0,1562
22.1,1550
22.2,1547
22.2,1547
22.3,1545
22.4,1542
22.5,1530
22.5,1529
22.6,1523
22.7,1515
22.8,1511
22.8,1510
22.9,1503
23.0,1499
23.1,1498
23.1,1489
23.2,1488
23.3,1488
23.4,1488
23.4,1482
23.5,1481
23.6,1479
23.7,1477
23.7,1476
23.8,1475
23.9,1472
24.0,1469
24.0,1467
24.1,1461
24.2,1459
24.3,1459
24.3,1452
24.4,1452
24.5,1451
24.6,1449
24.6,1441
24.7,1439
24.8,1437
24.9,1432
24.9,1428
25.0,1427
25.1,1427
25.2,1420
25.2,1416
25.3,1404
25.4,1398
25.5,1397
25.5,1393
25.6,1391
25.7,1390
25.8,1387
25.8,1379
25.9,1379
26.0,1378
26.1,1374
26.1,1373
26.2,1369
26.3,1366
26.4,1364
26.5,1362
26.5,1362
26.6,1359
26.7,1358
26.8,1346
26.8,1341
26.9,1337
27.0,1326
27.1,1322
27.1,1321
27.2,1318
27.3,1316
27.4,1315
27.4,1313
27.5,1312
27.6,1303
27.7,1299
27.7,1296
27.8,1290
27.9,1282
28.0,1278
28.0,1277
28.1,1276
28.2,1272
28.3,1270
28.3,1263
28.4,1249
28.5,1247
28.6,1240
28.6,1239
28.7,1236
28.8,1235
28.9,1234
28.9,1229
29.0,1227
29.1,1219
29.2,1216
29.2,1215
29.3,1212
29.4,1212
29.5,1207
29.5,1207
29.6,1205
29.7,1204
29.8,1201
29.8,1197
29.9,1196
30.0,1195
30.1,1193
30.1,1190
30.2,1184
30.3,1181
30.4,1180
30.4,1180
30.5,1178
30.6,1168
30.7,1166
30.7,1164
30.8,1162
30.9,1159
31.0,1157
31.0,1155
31.1,1154
31.2,1152
31.3,1151
31.3,1151
31.4,1147
31.5,1147
31.6,1146
31.7,1143
31.7,1141
31.8,1129
31.9,1127
32.0,1127
32.0,1122
32.1,1121
32.2,1120
32.3,1120
32.3,1118
32.4,1117
32.5,1115
32.6,1115
32.6,1108
32.7,1106
32.8,1105
32.9,1104
32.9,1104
33.0,1101
33.1,1101
33.2,1099
33.2,1097
33.3,1095
33.4,1092
33.5,1089
33.5,1085
33.6,1083
33.7,1081
33.8,1079
33.8,1074
33.9,1072
34.0,1070
34.1,1070
34.1,1070
34.2,1068
34.3,1068
34.4,1066
34.4,1065
34.5,1064
34.6,1063
34.7,1063
34.7,1062
34.8,1060
34.9,1058
35.0,1051
35.0,1044
35.1,1044
35.2,1043
35.3,1041
35.3,1035
35.4,1032
35.5,1032
35.6,1030
35.6,1030
35.7,1030
35.8,1026
35.9,1026
35.9,1025
36.0,1017
36.1,1015
36.2,1014
36.2,1014
36.3,1012
36.4,1008
36.5,1008
36.5,1007
36.6,1006
36.7,1006
36.8,1005
36.9,1004
36.9,1001
37.0,996
37.1,994
37.2,992
37.2,992
37.3,988
37.4,987
37.5,985
37.5,981
37.6,978
37.7,978
37.8,975
37.8,974
37.9,972
38.0,970
38.1,968
38.1,964
38.2,958
38.3,957
38.4,953
38.4,949
38.5,945
38.6,945
38.7,944
38.7,944
38.8,943
38.9,941
39.0,940
39.0,940
39.1,937
39.2,937
39.3,935
39.3,933
39.4,928
39.5,926
39.6,924
39.6,923
39.7,922
39.8,919
39.9,918
39.9,911
40.0,911
40.1,909
40.2,908
40.2,905
40.3,904
40.4,903
40.5,897
40.5,892
40.6,892
40.7,890
40.8,888
40.8,887
40.9,886
41.0,883
41.1,877
41.1,877
41.2,876
41.3,875
41.4,872
41.4,865
41.5,865
41.6,864
